target,ids,date,flag,user,text
0,1752724555,Sat May 09 22:46:45 PDT 2009,NO_QUERY,milanq,I'm WET!!!!  ....spilled my tea all over my dress 
0,1971714242,Sat May 30 07:44:05 PDT 2009,NO_QUERY,samarudge,Finished photoshopping and now trying to figure out why Facebook won't let me upload it 
0,1976810217,Sat May 30 19:08:35 PDT 2009,NO_QUERY,digmod,is twitter is down again.......... 
0,1573747027,Tue Apr 21 02:39:58 PDT 2009,NO_QUERY,juergenfenn,"!Identica currently has rather severe problems concerning performance, availability, and its gateway to Twitter.  #fail !laconica"
0,2188274875,Mon Jun 15 21:36:10 PDT 2009,NO_QUERY,LoisLane210,"Only 3 eps of one of my fave TV shows left to watch    I know I'm gonna cry. Again I'm up past 5am, what is wrong with me?"
0,1984998712,Sun May 31 16:13:30 PDT 2009,NO_QUERY,JePapantoniou,@LaurenConrad's last episode 
0,2222349968,Thu Jun 18 06:51:34 PDT 2009,NO_QUERY,bjose93,I am having a #squarespace morning 
0,2231268779,Thu Jun 18 18:16:32 PDT 2009,NO_QUERY,Meag3040,i need more sleeppp in my life  work friday 7am-5pm. then babysitting all weekend. FML!
0,2261621295,Sat Jun 20 21:04:43 PDT 2009,NO_QUERY,mhitewatt,"Alarms set for 02:45 hot damn!! And I'm soo tired  in Twentynine Palms, CA http://loopt.us/Z4HQew.t"
0,1974475458,Sat May 30 13:12:41 PDT 2009,NO_QUERY,vivalaangelaa,I dont want to work today 
0,1973309861,Sat May 30 10:54:03 PDT 2009,NO_QUERY,katielovato,what the crap blink-182 tickets sold out in three seconds  SD please have tickets for me next week
0,2244669524,Fri Jun 19 15:03:21 PDT 2009,NO_QUERY,pamtelen,OH NO! George really is leaving!  It'll be MICA instead of MAGIC.
0,2200882614,Tue Jun 16 19:30:19 PDT 2009,NO_QUERY,katrienlurve,waiting for another hour. :X LONER! 
0,2323661490,Thu Jun 25 01:10:19 PDT 2009,NO_QUERY,vilia,if only I don't need to fix my selphy photo printer...what a jam 
0,1968339859,Fri May 29 21:14:10 PDT 2009,NO_QUERY,xxliltogepixx,Cant stop thinking of u...... is it love of first sight? Or it is a mistake  Not sure if he love me  or he move back with his fiancee?
0,2190575178,Tue Jun 16 03:07:13 PDT 2009,NO_QUERY,cbchatterton,"Definately need more sleep. #Teething all night everynight. Wasn't paying attention today, dropped my new #Nokia5800 in a carpark. Gone "
0,2282823031,Mon Jun 22 11:51:13 PDT 2009,NO_QUERY,MAGIXblog,@digitalfemme oh yeah im back - and i loved it for sure. but i didt do canoeing  so sad....
0,1979741371,Sun May 31 04:19:05 PDT 2009,NO_QUERY,natz07,is buggered!wish i could sleep! 
0,2214752111,Wed Jun 17 17:11:01 PDT 2009,NO_QUERY,Evoler,Someone's name will be suspend... 
0,2180075698,Mon Jun 15 09:58:45 PDT 2009,NO_QUERY,jeslynfong,i'm just wondering when my hair will get that bit of longer. 
0,2224682644,Thu Jun 18 09:48:12 PDT 2009,NO_QUERY,mleisman,slowly losing my tan due to the gross weather 
0,2243605357,Fri Jun 19 13:39:53 PDT 2009,NO_QUERY,haileyrose16,ughhh my first two cavities ever. 
0,1989797789,Mon Jun 01 02:50:43 PDT 2009,NO_QUERY,edhorwich,Think I'll have to buy new furniture for the terrace so I can work out there. Too nice to be tweeting inside  http://bit.ly/iZMwD
0,2295521080,Tue Jun 23 08:02:02 PDT 2009,NO_QUERY,tinaabobinaa,Rehearsals  I'm currently wearing a kankan outfit ;) oooft
0,2204080317,Wed Jun 17 01:16:17 PDT 2009,NO_QUERY,marcmcg,"@PinkBatgirl I get the impression that they need to say that a lot, so it's burned into their brains. Shame they are so mechanical though "
0,2047197693,Fri Jun 05 13:17:40 PDT 2009,NO_QUERY,FuDirector09,Ahoo  these are good!
0,2298736095,Tue Jun 23 12:02:58 PDT 2009,NO_QUERY,antoniocerro,i hate this weather! 
0,2266208531,Sun Jun 21 08:05:56 PDT 2009,NO_QUERY,Zwiebelii,@DPMHAUS  It's Not that cheap that I thought 
0,2220723986,Thu Jun 18 03:49:12 PDT 2009,NO_QUERY,adelep_x,is ill! and incredibly bored at home 
0,2266277074,Sun Jun 21 08:13:22 PDT 2009,NO_QUERY,roxyisfoxy,Grr. I've walked half of this frikken SLC airport! Getting a headache 
0,2176621202,Mon Jun 15 04:20:53 PDT 2009,NO_QUERY,shawnBerger,Coming home from a great stay at Tennessee.  Very sad 
0,2306255655,Tue Jun 23 22:02:12 PDT 2009,NO_QUERY,DeePrincesss,@BPoppins the blackberry i have is the 1st blkbry dat came out &amp; only reason y i have it is cuz my other cell broke so im stuck wit dis 1 
0,1573304678,Tue Apr 21 00:34:12 PDT 2009,NO_QUERY,TerrenceJ106,Thx a lot to @SEXY_SINGER23 for the spoiler  I'm going to grub and go to sleep
0,2058996947,Sat Jun 06 16:02:33 PDT 2009,NO_QUERY,MarsLindo,Trying to Listen to kid cudi in sound tent. Acoustics aren't so good. 
0,1556500079,Sat Apr 18 23:04:49 PDT 2009,NO_QUERY,puthali,"@shrek9 well 've no option but to do tht...just tht it was my 1st cell 'n a gift from bro to boot, plus tht damn thing cost 11K back then "
0,1980381118,Sun May 31 06:34:32 PDT 2009,NO_QUERY,indaaaho,says arggggggh facebook chat nya lama banget  http://plurk.com/p/xersb
0,2286798530,Mon Jun 22 16:56:31 PDT 2009,NO_QUERY,Dorkus_,"@VickiLouiseXxX It sure is, but I don't think it's legit.  Awh.."
0,1834564305,Mon May 18 03:24:56 PDT 2009,NO_QUERY,surreyblonde,@aardmanonline - lamenting the fact that I didn't win free tickets to the W&amp;G  evening on wednesday by Timeout 
0,1880806651,Fri May 22 02:34:26 PDT 2009,NO_QUERY,jennie_louise,@newtonheath18 Yes please! think may be camping but not sure - still ill 
0,2302854811,Tue Jun 23 17:23:20 PDT 2009,NO_QUERY,AmandaWheaton,@theliferider I know... 
0,1881891810,Fri May 22 05:47:47 PDT 2009,NO_QUERY,dnf007,Ugh parents get to sleep in today  jealous
0,1691421461,Sun May 03 17:49:32 PDT 2009,NO_QUERY,candissss,@Theereesa  i know dude ive been so pissed ive been having anxiety attacks all day lol.ima go to his house and jump him theresa lets go
0,2183723734,Mon Jun 15 14:53:58 PDT 2009,NO_QUERY,chrisohbaby,@SouthwestAir southwest! I luv you guys but lately it seems every other flight I'm on is delayed! 
0,1958118795,Fri May 29 02:43:29 PDT 2009,NO_QUERY,haydeee,"@jesse_la ben's dreams make me so saddddddd  i want them to be togetherrr. i swear if this shit gets me bawlinggg, so help me.."
0,1967933136,Fri May 29 20:28:18 PDT 2009,NO_QUERY,echosmecho,Akwardness=Lame Not texting back=Lame 'This'=Never going to get fixed. 
0,2217817872,Wed Jun 17 21:25:53 PDT 2009,NO_QUERY,kbough,er with jeffro.. clumsy boy 
0,2063204866,Sun Jun 07 01:45:11 PDT 2009,NO_QUERY,antsrants,"Need iPhone help, connecting to new pc wont copy apps over will I have to pay for apps again if I wipe and re download them!? Please help "
0,2323291588,Thu Jun 25 00:18:59 PDT 2009,NO_QUERY,arpitamukherjee,@vishalmathur85 Have work today  Next week will try and come down... Kool Hai??
0,1550959780,Sat Apr 18 07:45:05 PDT 2009,NO_QUERY,JtotheAM,Been up since like 5am 
0,2261889338,Sat Jun 20 21:31:14 PDT 2009,NO_QUERY,MichaelFortney,@callierenee hands down worst band ever. I'm sorry  they are the worst live band I have ever seen. Only because they get worse every time
0,2206216149,Wed Jun 17 06:11:38 PDT 2009,NO_QUERY,feelingsinister,"Have major writers block reviewing new Placebo album. Thoughts are there, but they're lacking structure and articulation "
0,1986729245,Sun May 31 19:14:11 PDT 2009,NO_QUERY,angelinadarling,Just discovered my beloved lil debbie zebra cakes have 260 calories...EACH.  shiiiiiiiiiiiiiiiiiiit.
0,1693532092,Sun May 03 22:51:36 PDT 2009,NO_QUERY,slantXedge,"Aww that hurt Whateverz, i'm not crying. Well Anywayz, goodnight. I have to learn tomorrow. "
0,1969624322,Sat May 30 00:39:00 PDT 2009,NO_QUERY,TriDewanti,"@pramestiwidya ah sims 3,sound GREAT! its summer time idya! i cant wait for holiday but i wish theres no &quot;short term semester&quot;  hw bout u?"
0,1956603392,Thu May 28 22:14:44 PDT 2009,NO_QUERY,ohhhmeggie,@jdeferb No.  I wish. I just follow him on here so I know he is back in Kalamazoo. We were joking about going up there to find him. Haha.
0,2223686418,Thu Jun 18 08:35:12 PDT 2009,NO_QUERY,mikequayle16,Is not happy wiv hus been named in the lions squad for saturday 
0,1970367558,Sat May 30 03:34:43 PDT 2009,NO_QUERY,gilchrist1984,@Rochellewiseman ah hayfever is evil  hope rehearsals are going well. Looking forward to your show in Glasgow on Tuesday! x
0,2224938594,Thu Jun 18 10:06:53 PDT 2009,NO_QUERY,ehammond84,@masterluke103 thats sad  We must stop THE CRAZY!
0,1835970647,Mon May 18 07:07:08 PDT 2009,NO_QUERY,M_MarieMullin,Whyyy ... !? 
0,2246980899,Fri Jun 19 18:24:44 PDT 2009,NO_QUERY,allykae,I've gotten the hiccups every single time I've had something to eat today. 
0,1966032450,Fri May 29 16:59:58 PDT 2009,NO_QUERY,kgraceeex11,wants to go see street dreams but it's not playing anywhere near here 
0,2052685645,Sat Jun 06 01:37:40 PDT 2009,NO_QUERY,henris94,"@da808babster A 24 hour bug that lasted three days, eh? Well I hope you get better. and btw kids get sick constantly "
0,1469192115,Tue Apr 07 05:33:12 PDT 2009,NO_QUERY,emilypops,Listening to frank turner curled up on the sofa with puffy eyes and a cold 
0,1556511795,Sat Apr 18 23:07:47 PDT 2009,NO_QUERY,paul_steele,gym not open till 9  (twiddle thumbs it is then....)
0,1996089252,Mon Jun 01 14:31:04 PDT 2009,NO_QUERY,alphapisces,Just set up the account. &quot;Catastrophic Tidal Destruction&quot; wouldn't fit in the account name. 
0,2222031614,Thu Jun 18 06:23:35 PDT 2009,NO_QUERY,ClaireOJD,@justinbieber i wish i could call the number! but i live in Holland 
0,1759125585,Sun May 10 18:31:07 PDT 2009,NO_QUERY,ashleegaston,"@McDayDreamer ister, and 6 year old brother. "
0,1883323551,Fri May 22 08:22:07 PDT 2009,NO_QUERY,toniakande,@Nicole_Innes same i really cant!  what will we eveer do ? *-)
0,2055349485,Sat Jun 06 09:09:18 PDT 2009,NO_QUERY,a_neetz26,stuk at home wid the rainn 
0,2267057246,Sun Jun 21 09:33:15 PDT 2009,NO_QUERY,MiraIzzati,I have to go to bed now 
0,2199454228,Tue Jun 16 17:31:27 PDT 2009,NO_QUERY,vicious696,"@Assassin10k ouch! why u gotta call me out like that, was lastnight not good for u too? "
0,2066689381,Sun Jun 07 10:59:38 PDT 2009,NO_QUERY,louisthieu,"@regalclothing what a really cool t-shirt! i want to buy it, but i'm not 18! "
0,1957021321,Thu May 28 23:17:57 PDT 2009,NO_QUERY,FoOie,"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today "
0,2206198459,Wed Jun 17 06:09:58 PDT 2009,NO_QUERY,Slechtvalk,iphone update 3.0 comes out today. I DONT HAVE anything to test it on  been waiting for the final release for a long time! (beta sucked)
0,2264010302,Sun Jun 21 02:29:52 PDT 2009,NO_QUERY,tiffyangshuyi,bow wow.. my head is bursting now 
0,2199499038,Tue Jun 16 17:35:18 PDT 2009,NO_QUERY,Muskawo,@dkwelsh you still dont have it?  time to bring out the guns
0,2327073080,Thu Jun 25 07:53:05 PDT 2009,NO_QUERY,Matbolabc,im soooooooooo tired today. And i have to clean up the house! 
0,2058509877,Sat Jun 06 15:05:03 PDT 2009,NO_QUERY,TrishaBratt_,come get some coffee! one more hour of work 
0,2260755378,Sat Jun 20 19:43:23 PDT 2009,NO_QUERY,neeii,says Gotta pack and go. Byeeee. (bye)  http://plurk.com/p/12k2ce
0,1974919266,Sat May 30 14:04:42 PDT 2009,NO_QUERY,chrisclynes,SuBo came 2ND on Britain's Got Talent?! Diversity were unbelievably good though. Last day of filming my Bollywood-style film tomorrow 
0,2258749961,Sat Jun 20 16:26:10 PDT 2009,NO_QUERY,kimb0slice,Everyones busy today  !!
0,2065173780,Sun Jun 07 08:03:09 PDT 2009,NO_QUERY,gemsam,@tallthingeek Thanks fella  bleurgh! I have a thing about contacts... i cant even look at people touching their eye let alone those! 
0,2218912197,Wed Jun 17 23:24:02 PDT 2009,NO_QUERY,nickbournes,#gokeyisadouche poor gokey 
0,1686343773,Sun May 03 05:00:21 PDT 2009,NO_QUERY,okiekookie,Needs to concentrate on History 
0,1793287888,Thu May 14 02:06:26 PDT 2009,NO_QUERY,BlackMael,I miss my beautiful angel  #fb
0,1989088485,Mon Jun 01 00:18:28 PDT 2009,NO_QUERY,Nick_Woodbridge,LOVE; Jack's new Myspace. Amy's a stunner ;) Currently doing homework 
0,2187944620,Mon Jun 15 21:02:55 PDT 2009,NO_QUERY,kimfromcoffee,Won't get to 'really' celebrate till this weekend tho 
0,1991549887,Mon Jun 01 07:14:28 PDT 2009,NO_QUERY,bubbly_chicken,sunny and had to spend the whole say inside at skule... grr . . . need to have my braces tightened and it always hurts. . . 
0,2188932252,Mon Jun 15 22:52:21 PDT 2009,NO_QUERY,tangowhisky,@girlasaurus_rex I don't like fights... but I do like getting smarter. Now I'm confused. 
0,2248356853,Fri Jun 19 20:29:48 PDT 2009,NO_QUERY,tiffanymead,Headed home from the THR3E!!! Lots of fun but I'm beat!!! Didn't think we'd ever get it all cleaned up! 
0,1970424316,Sat May 30 03:48:56 PDT 2009,NO_QUERY,BeccaxVipx,@sugarghc (contd) sums that i cant understand! i have 12 chapters of maths  to study in 2 weeks + another 10 subjects..stressed!! :/
0,2062833643,Sun Jun 07 00:27:19 PDT 2009,NO_QUERY,glazou,"@mollydotcom no, no free wifi at airport "
0,2197667867,Tue Jun 16 14:57:51 PDT 2009,NO_QUERY,elbowknee7,my godfather passed away..im sad   could use some cheering up
0,2203724953,Wed Jun 17 00:23:17 PDT 2009,NO_QUERY,elleb87,"@perki i'm not a stalker btw lol, i just happened to be staring at the stair well when i saw you haha. yep I'm on top floor "
0,2051938016,Fri Jun 05 23:11:53 PDT 2009,NO_QUERY,JaiBrandon,Cooked the bomb ass fried chicken for my road trip cross country tomorrow. But can't eat it yet 
0,1974926805,Sat May 30 14:05:32 PDT 2009,NO_QUERY,Lucecita06,Trying to sleep....but I just canï¿½t!!!!  
0,2264604334,Sun Jun 21 04:23:34 PDT 2009,NO_QUERY,tdm911,@jurgen I'll be saying hello Telstra on Friday! Optus is just woeful in every respect these days. 
0,1964711820,Fri May 29 14:40:46 PDT 2009,NO_QUERY,jasmink9,http://twitpic.com/67l90 - @lunawoodcock girrrrrrrrlll i'm going to miss you so bad!!!! 
0,2070042548,Sun Jun 07 16:59:55 PDT 2009,NO_QUERY,KKOB,@bevcraig finding it hard to sleep without knowing if Griffin won the 8th seat or not  AAAAAAAHHH
0,2056109608,Sat Jun 06 10:32:37 PDT 2009,NO_QUERY,baileyskelton,Sun=Fun....unless you're locked away inside the LSV 
0,2246981348,Fri Jun 19 18:24:47 PDT 2009,NO_QUERY,martuviale,@lucasgrabeel13 A SIDECKIK (i donÂ´t know how to write it). i love that phone but cant buy it Â´cause it is not for sale in my country 
0,2287044832,Mon Jun 22 17:16:30 PDT 2009,NO_QUERY,olekms,"This makes me so sad, for so many reasons: http://bit.ly/VaxCL  "
0,1559162320,Sun Apr 19 10:25:29 PDT 2009,NO_QUERY,Lauren2206,Weather is sooo amazing today and I was stuck in work!  Typical!
0,1996087462,Mon Jun 01 14:30:54 PDT 2009,NO_QUERY,fragilemuse,@krabumple  the health care system down there sucks ass! sorry to hear you're in so much pain 
0,1965220285,Fri May 29 15:32:17 PDT 2009,NO_QUERY,autumnisftw,I don't like thunder. And neither does the doggy. 
0,1678303280,Sat May 02 06:15:28 PDT 2009,NO_QUERY,NKANGEL74,@suzi98babe oh no girlie  do u feel anything else besides the soreness? U should get it checked out
0,2072399249,Sun Jun 07 20:57:10 PDT 2009,NO_QUERY,AlfieBooNubbins, Now dad will tell mom to put the toys higher up cause I'm taller than she thought. I knew I shoulda waited til they left. Gosh darn it!
0,2236019243,Fri Jun 19 02:39:11 PDT 2009,NO_QUERY,Azahara_Amhesis,Nothing in TV I wanna cry 
0,2221618011,Thu Jun 18 05:42:51 PDT 2009,NO_QUERY,pogzie,is currently being defeated by JAVA yet again. Bano ako mag program sa java.. hassle. 
0,2249760200,Fri Jun 19 22:58:01 PDT 2009,NO_QUERY,romuchiz,@JessiicaxPonage lolz jess the problem is that I'M GROUNDED!!  yea it's sad....i got LUCKILY to be on the computer now 
0,1956159179,Thu May 28 21:18:12 PDT 2009,NO_QUERY,Spidersamm,@shaundiviney well i wont get one    noooo
0,2302105256,Tue Jun 23 16:20:45 PDT 2009,NO_QUERY,megdalayna,I need a Ipod or an iphone asap someone please help this poor white girl in utah 
